Category,Hull_Material,Propulsion_Type,Length,Length_Type,Fuel_Type,Class,Price_range,Year_range,Location_type
Motor Yachts,Fiberglass,Twin Inboard,38,Medium,Gas,Power,100K - 260K,2000-2009,City
Cruisers,Fiberglass,Other,31,Medium,Gas,Power,50K - 100K,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,42,Medium,Diesel,Power,100K - 260K,1990-1999,City
Bowrider,Fiberglass,Other,24,Small,Gas,Power,25K & lower,2000-2009,City
Cruisers,Fiberglass,Other,22,Small,Gas,Power,25K & lower,1990-1999,Town
Center Consoles,Fiberglass,Other,21,Small,Gas,Power,25K & lower,1990-1999,Town
Center Consoles,Fiberglass,Other,17,Small,Gas,Power,25K & lower,2000-2009,Town
Saltwater Fishing,Fiberglass,Twin Outboard,28,Small,Gas,Power,50K - 100K,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,51,Medium,Diesel,Power,100K - 260K,1990-1999,Town
Motor Yachts,Fiberglass,Twin Inboard,72,Medium,Diesel,Power,260K & Higher,2000-2009,City
Sports Fishing Boats,Fiberglass,Twin Inboard,45,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Cruisers,Fiberglass,Other,37,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Bowrider,Fiberglass,Other,26,Small,Gas,Power,50K - 100K,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,42,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Center Consoles,Other,Other,22,Small,Gas,Power,50K - 100K,2010 & above,Town
Motor Yachts,B.V. Steel,Other,196,Large,Diesel,Power,260K & Higher,1970-1979,Town
Cruisers,Fiberglass,Other,28,Small,Gas,Power,25K & lower,1980-1989,City
Saltwater Fishing,Other,Other,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Cruisers,Fiberglass,Twin Inboard,45,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Saltwater Fishing,Other,Single Outboard,28,Small,Gas,Power,25K - 50K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,55,Medium,Diesel,Power,260K & Higher,1990-1999,City
Sports Fishing Boats,Fiberglass,Twin Inboard,48,Medium,Diesel,Power,260K & Higher,1980-1989,Town
Saltwater Fishing,Fiberglass,Twin Inboard,32,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,50,Medium,Diesel,Power,100K - 260K,1990-1999,Town
Motor Yachts,Fiberglass,Twin Inboard,61,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Cruisers,Fiberglass,Other,28,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,22,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K & lower,2000-2009,City
Cruisers,Fiberglass,Twin Inboard,38,Medium,Gas,Power,100K - 260K,2000-2009,Town
Sports Fishing Boats,Fiberglass,Other,43,Medium,Gas,Power,260K & Higher,2010 & above,Town
Center Consoles,Fiberglass,Other,33,Medium,Gas,Power,50K - 100K,2000-2009,City
Cruisers,Fiberglass,Twin Inboard,35,Medium,Gas,Power,100K - 260K,2010 & above,City
Bowrider,Fiberglass,Other,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Other,18,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Fiberglass,Other,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,42,Medium,Gas,Power,50K - 100K,1960-1969,Town
Saltwater Fishing,Fiberglass,Single Outboard,19,Small,Gas,Power,25K - 50K,2010 & above,City
Motor Yachts,Fiberglass,Twin Inboard,42,Medium,Diesel,Power,50K - 100K,1990-1999,City
Bowrider,Fiberglass,Other,29,Small,Gas,Power,50K - 100K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,33,Medium,Gas,Power,100K - 260K,2000-2009,Town
Bowrider,Fiberglass,Other,25,Small,Gas,Power,50K - 100K,2010 & above,City
Center Consoles,Fiberglass,Other,33,Medium,Gas,Power,25K - 50K,1970-1979,City
Bowrider,Fiberglass,Other,25,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Fiberglass,Other,26,Small,Gas,Power,25K - 50K,2000-2009,Town
Sports Fishing Boats,Fiberglass,Twin Outboard,25,Small,Gas,Power,50K - 100K,2010 & above,City
Center Consoles,Fiberglass,Single Outboard,38,Medium,Gas,Power,260K & Higher,2010 & above,Town
Motor Yachts,Aluminum,Twin Inboard,102,Large,Diesel,Power,260K & Higher,1980-1989,Town
Center Consoles,Fiberglass,Twin Outboard,28,Small,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Other,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Aluminum,Other,25,Small,Gas,Small Boats,50K - 100K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,52,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Bowrider,Fiberglass,Other,30,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Fiberglass,Other,38,Medium,Gas,Power,260K & Higher,2010 & above,Town
Cruisers,Fiberglass,Other,31,Medium,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Other,22,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Fiberglass,Other,21,Small,Gas,Power,25K - 50K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,64,Medium,Diesel,Power,260K & Higher,2000-2009,City
Cruisers,Fiberglass,Twin Inboard,33,Medium,Diesel,Power,50K - 100K,1990-1999,City
Bowrider,Fiberglass,Other,25,Small,Gas,Power,50K - 100K,2010 & above,Town
Cruisers,Fiberglass,Twin Inboard,50,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Bowrider,Fiberglass,Other,25,Small,Gas,Power,50K - 100K,2010 & above,Town
Bowrider,Fiberglass,Other,25,Small,Gas,Power,50K - 100K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,52,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Center Consoles,Fiberglass,Other,29,Small,Gas,Small Boats,100K - 260K,2010 & above,Town
Cruisers,Fiberglass,Twin Inboard,45,Medium,Diesel,Power,100K - 260K,1990-1999,Town
Bowrider,Fiberglass,Other,17,Small,Gas,Power,25K & lower,2010 & above,City
Motor Yachts,Fiberglass,Single Inboard,38,Medium,Diesel,Power,260K & Higher,2000-2009,City
Bowrider,Fiberglass,Other,33,Medium,Gas,Power,260K & Higher,2010 & above,Town
Cruisers,Fiberglass,Single Inboard,35,Medium,Diesel,Sails,50K - 100K,1980-1989,Town
Center Consoles,Fiberglass,Other,20,Small,Gas,Power,25K & lower,2000-2009,Town
Cruisers,Fiberglass,Other,24,Small,Gas,Power,25K - 50K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,42,Medium,Diesel,Power,50K - 100K,1980-1989,Town
Center Consoles,Composite,Other,35,Medium,Gas,Power,260K & Higher,2010 & above,City
Motor Yachts,Fiberglass,Twin Inboard,39,Medium,Diesel,Power,100K - 260K,2000-2009,City
Center Consoles,Fiberglass,Other,23,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Other,30,Small,Gas,Power,100K - 260K,2010 & above,City
Center Consoles,Fiberglass,Other,17,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Fiberglass,Other,18,Small,Gas,Power,25K & lower,2010 & above,Town
Center Consoles,Fiberglass,Other,22,Small,Gas,Power,50K - 100K,2010 & above,Town
Sports Fishing Boats,Fiberglass,Twin Outboard,32,Medium,Gas,Power,100K - 260K,2010 & above,City
Cruisers,Fiberglass,Other,24,Small,Gas,Power,25K & lower,2000-2009,City
Motor Yachts,Fiberglass,Other,44,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,1990-1999,Town
Center Consoles,Fiberglass,Other,190,Large,Gas,Power,25K & lower,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,28,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Other,35,Medium,Gas,Power,100K - 260K,1990-1999,Town
Motor Yachts,Fiberglass,Twin Inboard,45,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Motor Yachts,Other,Twin Inboard,40,Medium,Diesel,Power,50K - 100K,1990-1999,City
Cruisers,Fiberglass,Twin Inboard,34,Medium,Gas,Power,50K - 100K,2000-2009,Town
Sports Fishing Boats,Fiberglass,Other,53,Medium,Diesel,Power,50K - 100K,1970-1979,City
Bowrider,Fiberglass,Other,17,Small,Gas,Power,25K & lower,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,56,Medium,Diesel,Power,260K & Higher,1980-1989,City
Center Consoles,Fiberglass,Triple Outboard,36,Medium,Gas,Power,50K - 100K,2000-2009,Town
Saltwater Fishing,Fiberglass,Twin Inboard,32,Medium,Diesel,Power,100K - 260K,2000-2009,City
Saltwater Fishing,Fiberglass,Other,30,Small,Gas,Power,50K - 100K,2000-2009,City
Bowrider,Fiberglass,Twin Outboard,44,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,46,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Cruisers,Fiberglass,Other,33,Medium,Gas,Power,50K - 100K,2000-2009,City
Center Consoles,Fiberglass,Other,23,Small,Gas,Power,25K - 50K,1970-1979,Town
Motor Yachts,Fiberglass,Twin Inboard,53,Medium,Diesel,Power,100K - 260K,1990-1999,City
Motor Yachts,Fiberglass,Twin Inboard,37,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Cruisers,Fiberglass,Other,29,Small,Gas,Power,50K - 100K,2000-2009,Town
Sports Fishing Boats,Fiberglass,Other,31,Medium,Diesel,Power,50K - 100K,1960-1969,Town
Center Consoles,Composite,Single Outboard,34,Medium,Gas,Power,50K - 100K,1980-1989,Town
Center Consoles,Fiberglass,Other,22,Small,Gas,Power,25K & lower,1990-1999,Town
Bowrider,Fiberglass,Other,32,Medium,Gas,Power,50K - 100K,2000-2009,Town
Cruisers,Fiberglass,Twin Inboard,43,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Center Consoles,Fiberglass,Other,31,Medium,Gas,Small Boats,50K - 100K,1990-1999,Town
Saltwater Fishing,Fiberglass,Other,36,Medium,Gas,Power,100K - 260K,2000-2009,Town
Center Consoles,Fiberglass,Twin Outboard,32,Medium,Gas,Power,100K - 260K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,70,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K & lower,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,36,Medium,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,21,Small,Gas,Power,25K & lower,1990-1999,City
Cruisers,Fiberglass,Single Inboard,34,Medium,Diesel,Sails,50K - 100K,2000-2009,Town
Cruisers,Fiberglass,Twin Inboard,32,Medium,Gas,Power,50K - 100K,2000-2009,Town
Motor Yachts,Aluminum,Twin Inboard,90,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Saltwater Fishing,Fiberglass,Twin Outboard,29,Small,Gas,Power,50K - 100K,2000-2009,Town
Bowrider,Fiberglass,Other,20,Small,Gas,Power,25K & lower,1990-1999,Town
Center Consoles,Fiberglass,Single Outboard,20,Small,Gas,Power,25K & lower,1980-1989,Town
Cruisers,Fiberglass,Triple Outboard,35,Medium,Gas,Power,100K - 260K,2010 & above,Town
Saltwater Fishing,Fiberglass,Other,26,Small,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Other,20,Small,Gas,Power,25K & lower,1990-1999,Town
Center Consoles,Fiberglass,Other,23,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Fiberglass,Other,21,Small,Gas,Power,25K & lower,1990-1999,Town
Sports Fishing Boats,Fiberglass,Other,48,Medium,Diesel,Power,50K - 100K,1980-1989,Town
Motor Yachts,Fiberglass,Twin Inboard,95,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,32,Medium,Diesel,Power,50K - 100K,1990-1999,City
Motor Yachts,Fiberglass,Twin Inboard,44,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,67,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Center Consoles,Fiberglass,Single Inboard,26,Small,Diesel,Power,25K - 50K,1990-1999,City
Center Consoles,Fiberglass,Twin Outboard,30,Small,Gas,Power,25K - 50K,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,31,Medium,Gas,Power,100K - 260K,2010 & above,City
Center Consoles,Fiberglass,Other,25,Small,Gas,Power,50K - 100K,2010 & above,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,37,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Saltwater Fishing,Fiberglass,Twin Inboard,63,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,24,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,28,Small,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,20,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,23,Small,Gas,Power,50K - 100K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,21,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,31,Medium,Gas,Power,100K - 260K,2000-2009,Town
Center Consoles,Fiberglass,Other,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Cruisers,Fiberglass,Other,30,Small,Gas,Power,25K & lower,1980-1989,Town
Saltwater Fishing,Fiberglass,Other,21,Small,Gas,Power,25K - 50K,2010 & above,City
Sports Fishing Boats,Fiberglass,Twin Inboard,44,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Center Consoles,Fiberglass,Other,23,Small,Gas,Power,25K - 50K,1980-1989,Town
Sports Fishing Boats,Fiberglass,Triple Outboard,39,Medium,Gas,Power,260K & Higher,2010 & above,Town
Saltwater Fishing,Fiberglass,Other,21,Small,Gas,Power,25K & lower,2010 & above,City
Motor Yachts,Fiberglass,Twin Inboard,67,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Center Consoles,Composite,Other,18,Small,Gas,Power,25K & lower,2000-2009,Town
Sports Fishing Boats,Fiberglass,Triple Outboard,36,Medium,Gas,Power,260K & Higher,2000-2009,Town
Center Consoles,Fiberglass,Other,20,Small,Gas,Power,25K - 50K,2010 & above,Town
Sports Fishing Boats,Wood,Twin Inboard,37,Medium,Diesel,Power,260K & Higher,1960-1969,Town
Sports Fishing Boats,Fiberglass,Triple Outboard,41,Medium,Gas,Power,260K & Higher,2010 & above,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,60,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,32,Medium,Diesel,Power,50K - 100K,1990-1999,Town
